0,1
1,34
2,4
3,1
4,4
5,1
6,2
7,3
8,2
9,11
10,29
11,1
12,1
13,8
14,8
15,18
16,282
17,12
18,1
19,24
20,41
21,3
22,36
23,1
24,5
25,356
26,254
27,18
28,34
29,3
30,1
31,439
32,1
33,92
34,2
35,23
36,2
37,2
38,1
39,4
40,8
41,82
42,125
43,23
44,10
45,129
46,207
47,12
48,5
49,1
50,164
51,1
52,1
53,5
54,18
55,4
56,87
57,2
58,1
59,4
60,19
61,43
62,1
63,2
64,1
65,1
66,11
67,184
68,1
69,13
70,4
71,1
72,1
73,1
74,124
75,7
76,8
77,1
78,312
79,1
80,67
81,1
82,117
83,3
84,11
85,2
86,7
87,2
88,1
89,1
90,1
91,2
92,2
93,1
94,65
95,22
96,3
97,8
98,25
99,2
100,168
101,10
102,1
103,115
104,648
105,329
106,8
107,2
108,8
109,1
110,16
111,93
112,2
113,78
114,5
115,43
116,1
117,366
118,308
119,4
120,315
121,113
122,68
123,269
124,1
125,2
126,19
127,1
128,1
129,3
130,1
131,337
132,131
133,2
134,2
135,6
136,6
137,257
138,2
139,1
140,9
141,29
142,1
143,260
144,11
145,3
146,17
147,388
148,9
149,1
150,188
151,2
152,2
153,215
154,11
155,993
156,2
157,1
158,94
159,33
160,1
161,276
162,3
163,83
164,1
165,5
166,230
167,43
168,2
169,8
170,915
171,706
172,8
173,2
174,23
175,20
176,1
177,2
178,4
179,16
180,1
181,2
182,1
183,2
184,12
185,11
186,169
187,5
188,3
189,132
190,10
191,1
192,932
193,4
194,3
195,2
196,180
197,1
198,338
199,1
200,9
201,154
202,1
203,1
204,2
205,1
206,6
207,49
208,61
209,92
210,8
211,1
212,7
213,5
214,5
215,44
216,8
217,14
218,15
219,6
220,14
221,1
222,4
223,9
224,1
225,353
226,3
227,1
228,3
229,2
230,1
231,1
232,73
233,9
234,6
235,11
236,8
237,1
238,4
239,365
240,224
241,1
242,1
243,9
244,59
245,3
246,37
247,106
248,1
249,130
250,1
251,6
252,16
253,37
254,1
255,996
256,4
257,6
258,11
259,8
260,15
261,1
262,2
263,2
264,2
265,36
266,8
267,282
268,6
269,424
270,3
271,35
272,38
273,3
274,1
275,5
276,4
277,1
278,20
279,993
280,1
281,1
282,22
283,64
284,14
285,1
286,1
287,1
288,1
289,376
290,23
291,37
292,38
293,15
294,2
295,2
296,4
297,37
298,26
299,44
300,6
301,717
302,18
303,1
304,5
305,1
306,182
307,2
308,14
309,4
310,337
311,371
312,2
313,869
314,26
315,12
316,1
317,95
318,9
319,77
320,154
321,1
322,695
323,6
324,101
325,7
326,72
327,5
328,1
329,63
330,1
331,3
332,166
333,9
334,2
335,3
336,3
337,18
338,2
339,13
340,140
341,88
342,700
343,4
344,1
345,20
346,1
347,2
348,2
349,283
350,3
351,2
352,23
353,5
354,1
355,7
356,36
357,930
358,7
359,5
360,51
361,38
362,99
363,10
364,4
365,1
366,1
367,133
368,3
369,37
370,4
371,6
372,6
373,14
374,1
375,894
376,21
377,10
378,2
379,965
380,5
381,271
382,11
383,1
384,3
385,133
386,288
387,1
388,1
389,1
390,14
391,186
392,10
393,10
394,584
395,1
396,2
397,3
398,5
399,36
400,1
401,1
402,1
403,140
404,2
405,14
406,26
407,49
408,1
409,6
410,1
411,1
412,24
413,68
414,372
415,646
416,1
417,7
418,5
419,2
420,13
421,1
422,44
423,16
424,2
425,173
426,122
427,21
428,1
429,201
430,46
431,3
432,4
433,12
434,75
435,2
436,2
437,1
438,3
439,29
440,60
441,2
442,5
443,80
444,1
445,1
446,42
447,1
448,8
449,178
450,10
451,95
452,151
453,1
454,818
455,13
456,83
457,102
458,135
459,2
460,2
461,15
462,1
463,145
464,931
465,9
466,145
467,554
468,16
469,4
470,64
471,2
472,901
473,13
474,18
475,132
476,6
477,37
478,492
479,1
480,397
481,1
482,1
483,1
484,138
485,42
486,62
487,2
488,1
489,4
490,956
491,1
492,1
493,1
494,5
495,1
496,564
497,1
498,1
499,1
500,3
501,1
502,32
503,2
504,1
505,3
506,146
507,9
508,2
509,8
510,30
511,34
512,3
513,69
514,3
515,23
516,382
517,103
518,1
519,34
520,3
521,10
522,961
523,1
524,1
525,7
526,3
527,74
528,21
529,2
530,1
531,25
532,23
533,1
534,10
535,12
536,8
537,1
538,100
539,16
540,16
541,28
542,1
543,1
544,1
545,27
546,2
547,7
548,52
549,148
550,1
551,2
552,546
553,1
554,1
555,32
556,5
557,3
558,252
559,3
560,307
561,342
562,51
563,61
564,48
565,6
566,1
567,2
568,23
569,14
570,1
571,6
572,21
573,1
574,1
575,345
576,12
577,1
578,623
579,665
580,10
581,2
582,1
583,56
584,1
585,2
586,39
587,10
588,2
589,9
590,1
591,1
592,144
593,5
594,19
595,4
596,218
597,764
598,1
599,7
600,1
601,148
602,1
603,4
604,461
605,2
606,10
607,3
608,4
609,161
610,386
611,2
612,50
613,19
614,5
615,304
616,11
617,5
618,36
619,594
620,313
621,6
622,3
623,12
624,1
625,947
626,193
627,10
628,1
629,2
630,11
631,1
632,7
633,7
634,44
635,2
636,4
637,210
638,2
639,1
640,164
641,2
642,77
643,2
644,1
645,2
646,28
647,6
648,3
649,52
650,9
651,14
652,5
653,2
654,1
655,60
656,9
657,1
658,6
659,576
660,4
661,1
662,96
663,4
664,16
665,76
666,2
667,212
668,97
669,1
670,4
671,1
672,160
673,1
674,14
675,46
676,14
677,31
678,10
679,2
680,1
681,1
682,113
683,11
684,3
685,430
686,36
687,198
688,81
689,60
690,21
691,1
692,196
693,32
694,153
695,3
696,16
697,2
698,10
699,61
700,46
701,2
702,369
703,7
704,4
705,1
706,7
707,20
708,3
709,5
710,4
711,1
712,59
713,18
714,12
715,1
716,90
717,34
718,1
719,1
720,3
721,1
722,1
723,788
724,2
725,1
726,9
727,231
728,24
729,20
730,308
731,1
732,36
733,62
734,285
735,1
736,31
737,121
738,2
739,1
740,9
741,3
742,1
743,12
744,9
745,13
746,30
747,5
748,3
749,16
750,106
751,1
752,1
753,1
754,628
755,2
756,19
757,3
758,62
759,8
760,671
761,4
762,1
763,7
764,221
765,107
766,16
767,1
768,1
769,1
770,3
771,2
772,12
773,2
774,3
775,3
776,30
777,502
778,1
779,1
780,255
781,1
782,7
783,638
784,11
785,72
786,2
787,1
788,1
789,14
790,1
791,3
792,1
793,153
794,1
795,60
796,71
797,8
798,1
799,71
800,2
801,7
802,1
803,724
804,1
805,1
806,2
807,98
808,102
809,6
810,31
811,3
812,1
813,4
814,7
815,8
816,33
817,219
818,7
819,24
820,244
821,25
822,2
823,919
824,1
825,77
826,7
827,1
828,19
829,400
830,1
831,1
832,10
833,118
834,54
835,1
836,6
837,2
838,57
839,2
840,460
841,28
842,575
843,1
844,15
845,1
846,2
847,48
848,54
849,22
850,6
851,1
852,36
853,1
854,207
855,320
856,1
857,9
858,1
859,11
860,4
861,1
862,4
863,2
864,1
865,8
866,2
867,1
868,525
869,325
870,12
871,1
872,1
873,1
874,37
875,1
876,37
877,9
878,1
879,8
880,2
881,1
882,9
883,142
884,3
885,3
886,174
887,1
888,1
889,377
890,3
891,11
892,1
893,5
894,1
895,49
896,3
897,2
898,1
899,42
900,1
901,62
902,14
903,2
904,2
905,3
906,93
907,1
908,148
909,1
910,4
911,1
912,636
913,3
914,10
915,1
916,14
917,785
918,1
919,3
920,1
921,1
922,1
923,1
924,23
925,37
926,90
927,1
928,5
929,13
930,4
931,1
932,288
933,268
934,187
935,3
936,287
937,58
938,669
939,36
940,96
941,6
942,5
943,2
944,37
945,1
946,66
947,1
948,427
949,14
950,1
951,8
952,4
953,1
954,21
955,899
956,3
957,3
958,212
959,1
960,3
961,4
962,2
963,32
964,94
965,1
966,629
967,362
968,4
969,1
970,1
971,1
972,356
973,6
974,24
975,123
976,3
977,1
978,1
979,329
980,3
981,14
982,584
983,1
984,12
985,2
986,2
987,8
988,2
989,64
990,5
991,25
992,19
993,1
994,963
995,1
996,1
997,10
998,1
999,13
